title,correctanswer,answer2,answer3,answer4,category
"This ‘Magic Town’ in Baja California is an ideal destination for beer lovers. One of Mexico’s biggest breweries is located there. Visitors can also enjoy the various SPAs and ancients ‘temazcals’ (pre hispanic therapy). What’s the place?", Tecate, Tijuana, Ensenada, Mexicali,North 
"90% of the wines produced in Mexico are made in a certain area. Several regions such as the Guadalupe Valley offer tours and tastings for all visitors. Can you guess the state in which they are located?", Baja California, Southern Baja California, Sonora, Chihuahua, North 
"From Loreto, Southern Baja California, visitors can travel to an island where they can see sea wolves, dolphins, different types of birds and whales. Scuba diving and snorkeling are excellent options to do there. What’s the name of the island?", Coronado, Guadalupe, Holbox, Tiburon,North 
"This ‘Magic Town’ in Southern Baja California is known for its art, besides it’s an ideal place for surfing. Legend has it that the legendary Eagles song ‘Hotel California’ was born here. What’s the place?", Todos Santos, Loreto, Los Cabos, La Paz,North 
"In this place located in Southern Baja California, visitors can find one of the most ancient coral reefs in the Pacific Ocean, many marine species live there. For example; turtles, stingrays, whale shark, and various fish. This is a protected area, and a sustainable destination. Can you name the place?", Cabo Pulmo, Cabo San Lucas, San Jose del Cabo, Loreto,North 
"This beach town in Sonora is famous for its sportfishing activities, besides from the beautiful landscapes. What’s the place?", San Carlos, Hermosillo, Alamos, Pinacate,North 
"‘Chimichanga’ is a typical dish from Northern Mexico, it’s a delicious fried burrito. Can you name the state where it comes from?", Sonora, Chihuahua, Baja California, Nuevo Leon,North 
"Paquime, one of the few archaeological sites located in the North of Mexico can be found in this Magic Town in Chihuahua, can you guess the place?", Casas Grandes, Creel, Batopilas, Ciudad Juarez,North 
"This ‘Magic Town’ in Chihuahua is the best place to explore the Barrancas del Cobre, beautiful natural landscape, visitors can also get here and take a panoramic train ride between various two mexican states. What’s the name of the town?", Creel, Batopilas, Casas Grandes, Cuauhtemoc city,North 
"This ‘Magic Town’ in Chihuahua used to be famous for its mines. Nowadays visitors can travel around the silver route, buy local crafts and try the zip line. What’s the place?", Batopilas, Creel, San Carlos, Loreto,North 
"In this ‘Magic Town’ of Coahuila, visitors can choose from a wide variety of activities, for example; trekking around the forest, playing golf, or practice snowboard in the winter. What’s the place?", Arteaga, Candela, Guerrero, Parras de la Fuente,North 
"This ‘Magic Town’ in Coahuila is known for its crystalline hot springs, besides, visitors can go horseback riding, or trekking. What’s the place?", Candela, Viesca, Arteaga, Cuatro Cienegas,North 
"This ‘Magic Town’ in Coahuila is famous for its white sand dunes and their natural water pools in the middle of the desert. What’s the name?", Cuatro Cienegas, Parras de la Fuente, Guerrero, Viesca,North 
"This ‘Magic Town’ in Coahuila has the most important wine region in the state. Visitors can experience many tasting experiences. What’s the name?", Parras de la Fuente, Candela, Muzquiz, Viesca,North 
"This ‘Magic Town’ in Coahuila has in its territory the Bilbao Dunes, beautiful place in the middle of the desert, where sand surfing is the main sport. What’s the place?", Viesca, Arteaga, Cuatro Ciénegas, Muzquiz,North 
"This city is one of the biggest ones in Mexico, it has an ancient neighbourhood, and on the other hand, a very modern area, the main attractions are Fundidora Park and ‘Paseo Santa Lucia’. What’s the place?", Monterrey, Villa de Santiago, Linares, Bustamante,North 
"In this ‘Magic Town’ in Nuevo Leon, visitors can see one of Northern Mexico’s most beautiful waterfalls. This place is ideal for kayaking, bungee jumping and other extreme sports. What’s the place?", Villa de Santiago, Mapimi, Monterrey, Bustamante,North 
"This state has many old film settings, specially cowboy style, nowadays, tourists can visit them. What’s the place?", Durango, Chihuahua, Sonora, Tamaulipas,North 
"This ‘Magic Town’ in Durango has a mysterious silence zone and the natural reserve ‘El Bolson’. What’s the place?", Mapimi, Cuatro Cienegas, Batopilas, Nombre de Dios,North 
"This is the only mexican state where hunting tourism is allowed, can you guess which one?", Tamaulipas, Nuevo Leon, Durango, Sinaloa,North 
"This natural reserve called ‘El Cielo’ is the home for many local and migratory species. It’s an ideal place for camping. In which state is it located?", Tamaulipas, Durango, Chihuahua, Sonora,North 
"This is the most visited place in the state of Tamaulipas, its main attractions are the beautiful beaches. What’s the name if the city?", Tampico, Victoria, Laredo, Mier,North 
"‘Enchiladas Tultecas’ is this Magic Town’s most typical dish. They’re made with potatoes, chorizo, and a mix of chillies, among other ingredients. Where are they from?", Tula, Mier, Tampico, Ciudad Victoria,North 
"‘Cabrito en salsa’ (goat with sauce) is one of this Magic Town’s most representative dishes. What’s the town’s name?", Mier, Tula, Linares, Mapimi,North 
"Where can visitors buy the traditional ‘cuera’ a craft designed to be worn in special events in the north.", Tamaulipas, Nuevo Leon, Durango, Coahuila,North 
"In this colonial city, you can experience a ‘callejoneada’, which involves, a night city tour, a lot of dancing and a touch of mezcal.", Zacatecas, Puebla,Queretaro,Morelia Zacatecas Central,Central
"The ‘Magic Town’ of Jerez in Zacatecas offers a special tour at night, some people might find it spooky, but the truth is, it’s just a side of mexican culture, can you guess the setting?”", The local cemetery ‘Panteon Museo Dolores’, A haunted house, The local square, An ancient mine,Central 
"This museum in the Zacatecas city centre used to be a convent in the 17th century and now has more than 3000 masks in its collection, it also contains paintings from Picasso, Dali, and mexican painter Diego Rivera.", Museo Pedro Coronel, Museo Rafael Coronel, Museo Zacatecano, Museo Manuel Felguerez,Central 
"This region in Mexico has beautiful landscapes and it’s the perfect place to get in touch with nature, within the territory, there are many waterfalls, the most famous ones are Tamul and Micos, what’s the name of the place?", Huasteca Potosina, Sierra Gorda, Desierto de los Leones, Barrancas del Cobre,Central 
"There’s a surreal garden built by an englishman in San Luis Potosí, it has 9 hectares of land where you can find a perfect mix of art and nature, from which ‘Magic Town’ is it easier to go?", Xilitla, Real de Catorce, Aquismon, Ciudad Valles,Central 
"There’s a ‘Magic Town’ in San Luis Potosi that hosts a unique landscape The cave of swallows, (‘Sótano de las Golondrinas’ in spanish), it goes 512 meters into the center of the Earth, it’s truly a place for nature lovers. What’s the name of the town?", Aquismon, Real de Catorce, Xilitla, Ciudad Valles,Central 
"What’s the name of the yearly organised fair in Aguascalientes that involves music, dancing, cultural events, and lots of partying.", Feria de San Marcos, Feria Hidrocalida, Feria Santa, Feria Taurina,Central 
"The ‘Magic Town’ of Dolores Hidalgo in Guanajuato is a place full of history, visitors can see this when walking the town, and it’s museums. It was a key place for one of the country’s most important historical events, which one?", Independence, Revolution, Reformation, Civil War,Central  
"This ‘Magic Town’ in Guanajuato has a convent that looks more like a castle due to its architecture, you can also find there a lagoon that turns red whenever there’s an earthquake. What’s the place?", Yuriria, Salvatierra, Dolores Hidalgo,Jalpa de Canovas,Central 
"There’s a city in Guanajuato that host a neo gothic cathedral built and designed by a construction worker in the 17th century, nowadays is one of the most beautiful cathedrals in Mexico. What’s the place?", San Miguel de Allende, Guanajuato, Mineral de Pozos, Leon,Central 
"Year after year this city in Guanajuato hosts a hot air balloon festival, it’s a beautiful show, that also has music and local food. What’s the name of the city?",Leon, Yuriria, Celaya, Irapuato,Central 
"What’s the name of the ‘Magic Town’ in Queretaro that organises every year a wine and cheese festival made with local products.", Tequisquiapan, Bernal, Ezequiel Montes, Cadereyta,Central 
"This ‘Magic Town’ in Queretaro is famous for the delicious gorditas, a local snack, and for having in its territory the third biggest monolith in the world. What’s the name of the place?", Bernal, Tequisquiapan, Jalpan de Serra, San Joaquin,Central 
"There’s a place in Queretaro where you can do all sort of ecotourism related activities, it’s a protected place full of biodiversity. Ideal for camping. What’s the place?", Sierra Gorda, Sierra de Organos, Huasteca Potosina, Reserva Sian Kaan,Central 
"This ‘Magic Town’ in Hidalgo has a wide mine history, it’s a colorful small town filled with english heritage and it’s only 18 km away from the state’s capital, Pachuca. What’s the name?", Real del Monte, Mineral del Chico, Huichapan, Tecozautla,Central 
"This spring water complex in Hidalgo offers a relaxing place for visitors that want to get in touch with nature. The landscapes are also beautiful. What's the place?", Tolantongo, Los Pinos, Temazcal, Mineral de Pozos,Central  
"This ‘Magic Town’ in the State of Mexico has in its territory, the viceroyship museum, which has a collection of 34,000 objects from the 16th to the 19th century Mexico. What’s the place?", Tepotzotlan, El Oro, Aculco, Metepec,Central 
"The traditional ‘Arbol de la vida’, (The tree of life), is a craft made in a ‘Magic Town’ in the State of Mexico. It represents the encounter of two worlds, the spanish, and the prehispanic people in Mexico. Where is this made?", Metepec, Ixtapan de la Sal, Malinalco, Valle de Bravo,Central 
"In the ‘Magic Town’ of San Martin de las Piramides, in the State of Mexico, we can find one of the most visited archeological sites in Mexico, which one are we talking about?", Teotihuacan, Chichen Itza, Uxmal, Templo Mayor,Central 
"In which museum in Mexico City can you find both ancient archeology and modern ethnology halls? (Eleven for each)", National Museum of Anthropology, National Museum of History, Natural History Museum, Los Pinos,Central 
"What’s the name of the place located south of Mexico City in which you can ride a traditional ‘trajinera’, local boat, and have a good time with music, food, and drinks.", Xochimilco, Chapultepec, Coyoacan, Tlalpan,Central 
